Fangstår;Nord;Sør
2005;1175696.10719998;511121.051599991
2006;1190866.11819998;503729.030099995
2007;1358580.63539998;447595.254499995
2008;1524942.61129998;400706.706699996
2009;1803408.58989998;465909.369899995
2010;1861333.49919998;496289.584499995
2011;1747798.60319998;485652.092499997
2012;1696795.56209999;351012.068799998
2013;1402495.94889999;467538.179799996
2014;1386979.54759998;475641.395899997
2015;1345260.77899998;457651.092599997
2016;1237554.21149999;452726.002199997
2017;1450756.91879998;492565.289299996
2018;1411378.55242999;542609.470469996
2019;1291900.41117996;607696.581069989
2020;1263786.83260998;761873.109009993
2021;1686016.25845;390598.628189996