Fartøyfylke/-kommune;Art - hovedgruppe;Fangstår;Measure Names;Measure Values
Sogn og Fjordane;Torsk og torskeartet fisk;2000;Rundvekt (tonn);40940.7234
Sogn og Fjordane;Torsk og torskeartet fisk;2001;Rundvekt (tonn);34349.9039
Sogn og Fjordane;Torsk og torskeartet fisk;2002;Rundvekt (tonn);34450.2851
Sogn og Fjordane;Torsk og torskeartet fisk;2003;Rundvekt (tonn);30287.6798
Sogn og Fjordane;Torsk og torskeartet fisk;2004;Rundvekt (tonn);37572.1638
Sogn og Fjordane;Torsk og torskeartet fisk;2005;Rundvekt (tonn);40692.2726
Sogn og Fjordane;Torsk og torskeartet fisk;2006;Rundvekt (tonn);43605.9008
Sogn og Fjordane;Torsk og torskeartet fisk;2007;Rundvekt (tonn);43629.4568
Sogn og Fjordane;Torsk og torskeartet fisk;2008;Rundvekt (tonn);49186.6723
Sogn og Fjordane;Torsk og torskeartet fisk;2009;Rundvekt (tonn);51313.1786
Sogn og Fjordane;Torsk og torskeartet fisk;2010;Rundvekt (tonn);62868.5554
Sogn og Fjordane;Torsk og torskeartet fisk;2011;Rundvekt (tonn);62754.3545
Sogn og Fjordane;Torsk og torskeartet fisk;2012;Rundvekt (tonn);61814.4652
Sogn og Fjordane;Torsk og torskeartet fisk;2013;Rundvekt (tonn);56635.0739
Sogn og Fjordane;Torsk og torskeartet fisk;2014;Rundvekt (tonn);55071.2217
Sogn og Fjordane;Torsk og torskeartet fisk;2015;Rundvekt (tonn);59253.273
Sogn og Fjordane;Torsk og torskeartet fisk;2016;Rundvekt (tonn);56655.9039
Sogn og Fjordane;Torsk og torskeartet fisk;2017;Rundvekt (tonn);51783.0996
Sogn og Fjordane;Torsk og torskeartet fisk;2018;Rundvekt (tonn);46140.00427
Sogn og Fjordane;Torsk og torskeartet fisk;2019;Rundvekt (tonn);46706.764620000
Sogn og Fjordane;Torsk og torskeartet fisk;2020;Rundvekt (tonn);66208.764620000
Sogn og Fjordane;Torsk og torskeartet fisk;2021;Rundvekt (tonn);61882.764620000