Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (mnd);Høyeste middelvind (mnd)
Alna;SN18230;des.07;-1.6;NaN
Alna;SN18230;jan.08;0.8;7.9
Alna;SN18230;feb.08;2;10
Alna;SN18230;mar.08;0.9;8.6
Alna;SN18230;apr.08;6.9;6.8
Alna;SN18230;mai.08;NaN;7.9
Alna;SN18230;jun.08;NaN;6.9
Alna;SN18230;jul.08;18.7;8
Alna;SN18230;aug.08;15.3;7.7
Alna;SN18230;sep.08;10.9;6.5
Alna;SN18230;okt.08;6.9;11.3
Alna;SN18230;nov.08;1.7;9.5
Alna;SN18230;des.08;-1.5;9.8
Alna;SN18230;jan.09;-2.8;10.2
Alna;SN18230;feb.09;-5.6;7.2
Alna;SN18230;mar.09;1.1;9.1
Alna;SN18230;apr.09;8;8.1
Alna;SN18230;mai.09;12.1;9.1
Alna;SN18230;jun.09;16;8.7
Alna;SN18230;jul.09;17.2;8.3
Alna;SN18230;aug.09;16.1;8
Alna;SN18230;sep.09;12.8;12.6
Alna;SN18230;okt.09;3.7;8.8
Alna;SN18230;nov.09;3.6;7.9
Alna;SN18230;des.09;-4.6;8.8
Alna;SN18230;jan.10;-8.8;6.9
Alna;SN18230;feb.10;-7.1;9.2
Alna;SN18230;mar.10;-0.6;7.9
Alna;SN18230;apr.10;5.9;8.5
Alna;SN18230;mai.10;10.9;12.8
Alna;SN18230;jun.10;15.3;NaN
Alna;SN18230;jul.10;17.9;7.5
Alna;SN18230;aug.10;15.9;6.8
Alna;SN18230;sep.10;11.1;7.2
Alna;SN18230;okt.10;5.4;7.2
Alna;SN18230;nov.10;-2.6;9.1
Alna;SN18230;des.10;-10.7;8.1
Alna;SN18230;jan.11;-4.5;8.9
Alna;SN18230;feb.11;-5.5;9.2
Alna;SN18230;mar.11;0.2;9.3
Alna;SN18230;apr.11;9.5;8.9
Alna;SN18230;mai.11;11.3;NaN
Alna;SN18230;jun.11;16;7.7
Alna;SN18230;jul.11;18.1;7.1
Alna;SN18230;aug.11;15.9;7.9
Alna;SN18230;sep.11;12.6;6.9
Alna;SN18230;okt.11;7.5;9
Alna;SN18230;nov.11;4.4;9.8
Alna;SN18230;des.11;0.2;9.7
Alna;SN18230;jan.12;-3.1;8.7
Alna;SN18230;feb.12;-2.7;8.7
Alna;SN18230;mar.12;5.4;NaN
Alna;SN18230;apr.12;4.6;NaN
Alna;SN18230;mai.12;12.1;9.8
Alna;SN18230;jun.12;13.4;7
Alna;SN18230;jul.12;16.1;NaN
Alna;SN18230;aug.12;15.9;7.2
Alna;SN18230;sep.12;11.2;7.7
Alna;SN18230;okt.12;5.2;9.6
Alna;SN18230;nov.12;3.3;NaN
Alna;SN18230;des.12;-5.6;NaN
Alna;SN18230;jan.13;-5.3;NaN
Alna;SN18230;feb.13;-3.5;6.2
Alna;SN18230;mar.13;-2.5;NaN
Alna;SN18230;apr.13;4.2;NaN
Alna;SN18230;mai.13;12.7;NaN
Alna;SN18230;jun.13;14.8;7.1
Alna;SN18230;jul.13;18.4;NaN
Alna;SN18230;aug.13;16.1;NaN
Alna;SN18230;sep.13;12;NaN
Alna;SN18230;okt.13;7.3;NaN
Alna;SN18230;nov.13;2.4;NaN
Alna;SN18230;des.13;2.2;NaN
Alna;SN18230;jan.14;-2.9;NaN
Alna;SN18230;feb.14;1.8;NaN
Alna;SN18230;mar.14;4.3;8.4
Alna;SN18230;apr.14;7.7;8.6
Alna;SN18230;mai.14;11.9;6.3
Alna;SN18230;jun.14;15.6;7.3
Alna;SN18230;jul.14;20.9;NaN
Alna;SN18230;aug.14;15.6;NaN
Alna;SN18230;sep.14;13.1;NaN
Alna;SN18230;okt.14;8.9;10.4
Alna;SN18230;nov.14;3.9;NaN
Alna;SN18230;des.14;-2.1;NaN
Alna;SN18230;jan.15;-0.2;NaN
Alna;SN18230;feb.15;0.4;7.8
Alna;SN18230;mar.15;3.4;NaN
Alna;SN18230;apr.15;7;7.1
Alna;SN18230;mai.15;8.9;7.9
Alna;SN18230;jun.15;13.6;NaN